func,avg_t,score
ta_HTTRENDMODE,244.84366543008946,78
ta_HTSINE_SINE,230.4445671790745,73
ta_HTSINE_LEADSINE,230.3775255405344,73
ta_HTDCPHASE,203.46005124039948,64
ts_rank_60,122.62029903009534,39
ts_rank_40,97.9411778098438,31
ts_rank_20,60.974842709256336,19
ta_LINEARREG_ANGLE_60,53.64224928081967,17
ta_FAMA_0.5_0.05,50.32694378052838,16
ta_TSF_60,50.30169702018611,16
ta_LINEARREG_60,49.76378157036379,15
ta_MAMA_0.5_0.05,49.57221129909158,15
ta_LINEARREG_INTERCEPT_60,48.65503362962045,15
pow2,47.46118596987799,15
ta_HTTRENDLINE,45.60718485037796,14
ta_LINEARREG_SLOPE_60,44.77009205962531,14
ts_median_60,42.29014774085954,13
ta_LINEARREG_ANGLE_40,40.07180965971202,12
ts_median_40,39.150891880271956,12
ta_HTPHASOR_INPHASE,37.913014909718186,12
ta_HTDCPERIOD,37.71365567925386,12
ta_TSF_40,35.82592113991268,11
ta_LINEARREG_40,35.3722998208832,11
ta_LINEARREG_INTERCEPT_40,35.25634726975113,11
tszs_60_div,31.649592790054157,10
tszs_120_div,31.4990792889148,10
ta_LINEARREG_SLOPE_40,31.281195309711624,9
ts_median_20,30.81491861026734,9
tszs_60_mul,30.285623419331387,9
tszs_60_sub,30.28219962026924,9
tszs_60_add,30.211171089904383,9
tszs_120_sub,30.19670646986924,9
tszs_120_mul,30.170477920910344,9
tszs_60_min,30.15160579001531,9
tszs_120_max,30.11456446023658,9
tszs_120_min,30.058876069961116,9
tszs_60_max,30.048245739890262,9
tszs_120_add,30.024450150085613,9
ts_kurt_60,28.720840690657496,9
ts_kurt_10,28.566912800306454,9
ts_kurt_40,28.470901401015,9
ts_kurt_20,28.461180729791522,9
ta_LINEARREG_ANGLE_20,28.23575526010245,9
cszs_div,27.335828689392656,8
ts_rank_10,26.23592560994439,8
ta_BETA_10,25.97552101011388,8
ta_BETA_20,25.9289800201077,8
ta_BETA_40,25.857803729595616,8
ta_BETA_60,25.84224303951487,8
ta_BETA_5,25.769794959342107,8
cs_rank,25.376085960306227,8
ts_median_10,25.02446636906825,7
ts_skew_10,24.418769519543275,7
ts_skew_60,24.293028670363128,7
ts_skew_20,24.286923221079633,7
ts_skew_40,24.276105819735676,7
cszs_add,24.225520360050723,7
cszs_mul,24.152808990329504,7
cszs_max,24.136769020697102,7
cszs_sub,24.121245669666678,7
cszs_min,24.020471040857956,7
ta_LINEARREG_ANGLE_10,23.10359611059539,7
if_cond_then_else,22.339191760402173,7
tszs_60,20.698996760183945,6
ta_TSF_20,20.622274649795145,6
ts_median_5,20.068514980375767,6
ta_LINEARREG_INTERCEPT_20,20.05101067945361,6
ta_LINEARREG_20,19.868254319299012,6
clear_by_cond,18.764771559508517,5
ta_LINEARREG_SLOPE_20,18.252945200074464,5
ta_SINH,18.167826239950955,5
ta_CORREL_20,17.879638499580324,5
ta_CORREL_10,17.781256639864296,5
ta_CORREL_40,17.727615230251104,5
ta_CORREL_60,17.621137850219384,5
if_above0_then_else,17.5461613596417,5
ta_TANH,17.09831639076583,5
ts_quantile_20_0.25,16.873365009669214,5
ts_quantile_40_0.25,16.764648909447715,5
ts_quantile_60_0.75,16.65621972992085,5
ta_STOCHRSIk_10,16.635881289839745,5
